Provincia,Municipio,Dirección,Código Postal,Camas,Dependencia Funcional
Vizcaya,Barakaldo,Plaza Cruces 11,48903,981,Otros Centros O Establecimientos Públicos De Dependencia Estatal
Vizcaya,Barakaldo,Avenida Avda. Antonio Miranda 5,48902,128,Servicios E Institutos De Salud De Las Comunidades Autónomas
Vizcaya,Bermeo,Camino Tonpoi Bidea S/N,48370,188,Servicios E Institutos De Salud De Las Comunidades Autónomas
Vizcaya,Bilbao,"Alameda Urquijo, Alameda/Zumardia 65",48013,68,Organizaciones No Gubernamentales
Vizcaya,Bilbao,Calle Gordoniz 18,48010,44,Organizaciones No Gubernamentales
Vizcaya,Bilbao,"Calle Fontecha Y Salazar, Calle/Kalea 6",48007,44,Mutuas Colaboradoras Con La Seguridad Social
Vizcaya,Bilbao,"Calle Ercilla, Calle/Kalea 10",48009,22,Mutuas Colaboradoras Con La Seguridad Social
Vizcaya,Bilbao,Calle Gordoniz 9,48010,36,Privados
Vizcaya,Bilbao,Calle Maestro Mendiri 2,48006,74,Privados
Vizcaya,Bilbao,Calle Ballets Olaeta 4,48014,128,Privados
Vizcaya,Bilbao,Calle Manuel Allende 24,48010,42,Privados
Vizcaya,Bilbao,"Avenida Montevideo, Avenida/Etorbidea 16-18",48013,697,Servicios E Institutos De Salud De Las Comunidades Autónomas
Vizcaya,Bilbao,"Carretera Santa Marina, Carretera/Errepidea 41",48004,234,Servicios E Institutos De Salud De Las Comunidades Autónomas
Vizcaya,Erandio,"Carretera Leioa-Unbe Errepidea, Carretera/Errepidea 33",48950,110,Privados
Vizcaya,Galdakao,Calle Labeaga 46A,48960,481,Servicios E Institutos De Salud De Las Comunidades Autónomas
Vizcaya,Gorliz,"Paseo Urezarantza, Paseo/Ibilbidea 1",48630,149,Servicios E Institutos De Salud De Las Comunidades Autónomas
Vizcaya,Santurtzi,Avenida Cristóbal Murrieta ( Et/Av. ) 70,48980,100,Organizaciones No Gubernamentales
Vizcaya,Santurtzi,"Avenida Cristóbal De Murrieta, Avenida/Etorbidea 70",48980,24,Privados
Vizcaya,Urduliz,"Calle Goieta, Calle/Kalea 32",48610,128,Servicios E Institutos De Salud De Las Comunidades Autónomas
Vizcaya,Zaldibar,Avenida Bilbao ( Et/Av. ) S/N,48250,120,Servicios E Institutos De Salud De Las Comunidades Autónomas
Vizcaya,Zamudio,Barrio San Martin De Arteaga ( Au/Ba ) 45,48170,142,Servicios E Institutos De Salud De Las Comunidades Autónomas
